keyword,owner,repo_name,stars,forks_count,issue_count,network_count,subscribers_count,watchers_count,description,topics
PHP,laravel,framework,25216,8604,8,8604,1041,25216,The Laravel Framework.,"php,framework,laravel"
PHP,guzzle,guzzle,21258,2236,29,2236,466,21258,"Guzzle, an extensible PHP HTTP client","guzzle,psr-7,httpclient,curl,webservices,php,http-client,requests"
PHP,DesignPatternsPHP,DesignPatternsPHP,20059,4327,3,4327,1255,20059,sample code for several design patterns in PHP 8,"designpatternsphp,php,design-patterns,design-pattern,oop,modern-php,code-examples,phpunit,php8,hacktoberfest"
PHP,Seldaek,monolog,19223,1775,26,1775,329,19223,"Sends your logs to files, sockets, inboxes, databases and various web services","php,logging,logger,psr-3,hacktoberfest"
PHP,bcit-ci,CodeIgniter,18171,7794,95,7794,1612,18171,Open Source PHP Framework (originally from EllisLab),php
PHP,sebastianbergmann,phpunit,17989,2046,155,2046,345,17989,The PHP Unit Testing framework.,"php,phpunit,testing-tools"
PHP,PHPMailer,PHPMailer,17338,9026,33,9026,882,17338,The classic email sending library for PHP,"php,smtp,php-library,email,xoauth2,tls-support,phpmailer,attachment,hacktoberfest"
PHP,nextcloud,server,17295,2822,1713,2822,576,17295,"☁️ Nextcloud server, a safe home for all your data","open-source,file-sharing,enterprise,sharing,collaboration,cloud,nextcloud,self-hosting,decentralized,federation,free-software,distributed,owncloud,javascript,ux,design,usability,opensource,php,hacktoberfest"
PHP,WordPress,WordPress,15636,10454,4,10454,1424,15636,"WordPress, Git-ified. This repository is just a mirror of the WordPress subversion repository. Please do not send pull requests. Submit pull requests to https://github.com/WordPress/wordpress-develop and patches to https://core.trac.wordpress.org/ instead.",
PHP,matomo-org,matomo,15579,2213,1858,2213,431,15579,Liberating Web Analytics. Star us on Github? +1. Matomo is the leading open alternative to Google Analytics that gives you full control over your data. Matomo lets you easily collect data from websites & apps and visualise this data and extract insights. Privacy is built-in. We love Pull Requests! ,"analytics,php,piwik,log,website,privacy,mobile,intranet,web-analytics,marketing,growth,matomo,mysql,hacktoberfest,security"
PHP,briannesbitt,Carbon,15497,1190,6,1190,236,15497,A simple PHP API extension for DateTime.,
PHP,monicahq,monica,15380,1571,478,1571,268,15380,"Personal CRM. Remember everything about your friends, family and business relationships.","laravel,crm,friends,family,social,prm,php,hacktoberfest"
PHP,nikic,PHP-Parser,14976,844,77,844,237,14976,A PHP parser written in PHP,"php,parser,ast,static-analysis"
PHP,easychen,howto-make-more-money,14839,1568,5,1568,1975,14839,"程序员如何优雅的挣零花钱，2.0版，升级为小书了。Most of this not work outside China , so no English translate",
PHP,erusev,parsedown,13913,1034,122,1034,215,13913,Better Markdown Parser in PHP,"markdown-parser,markdown,parser,php"
PHP,yiisoft,yii2,13826,6975,495,6975,1147,13826,"Yii 2: The Fast, Secure and Professional PHP Framework","yii,php,php-framework,yii2,framework,hacktoberfest"
PHP,barryvdh,laravel-debugbar,13349,1296,41,1296,284,13349,Laravel Debugbar (Integrates PHP Debug Bar),"laravel,debugbar,hacktoberfest"
PHP,getgrav,grav,13002,1325,331,1325,356,13002,"Modern, Crazy Fast, Ridiculously Easy and Amazingly Powerful Flat-File CMS","php,cms,flat-file,content,website,grav,content-management,twig,yaml,symfony,doctrine,php7,website-builder,website-generation,markdown"
PHP,koel,koel,12975,1655,72,1655,336,12975,🐦 A personal music streaming server that works.,"laravel,vue,audio,streaming,mp3player,hacktoberfest"
PHP,filp,whoops,12600,582,5,582,196,12600,PHP errors for cool kids ,"php,php-errors,whoops,error-handling,errors,ui"
PHP,CachetHQ,Cachet,12412,1469,347,1469,295,12412,📛 An open source status page system for everyone.,"php,cachet,laravel,web-application,composer,statuspage,vuejs"
PHP,Intervention,image,12216,1376,334,1376,279,12216,PHP Image Manipulation,"php,laravel,image,manipulation,intervention,gd,imagick,thumbnail,watermark"
PHP,phacility,phabricator,12213,1582,1,1582,603,12213,"Effective June 1, 2021: Phabricator is no longer actively maintained.","phabricator,php,git,hg,svn"
PHP,thephpleague,flysystem,12172,677,29,677,168,12172,Abstraction for local and remote filesystems,"filesystem,php,thephpleague,filesystem-library"
PHP,flarum,flarum,12059,1331,0,1331,555,12059,Simple forum software for building great communities.,"php,forum,flarum,laravel"
PHP,barryvdh,laravel-ide-helper,11804,1019,116,1019,276,11804,Laravel IDE Helper,"laravel,autocompletion,hacktoberfest"
PHP,vlucas,phpdotenv,11566,568,2,568,164,11566,"Loads environment variables from `.env` to `getenv()`, `$_ENV` and `$_SERVER` automagically.","hacktoberfest,php,environment,dotenv,environment-variables,configuration"
PHP,PHPOffice,PHPExcel,11472,4140,668,4140,788,11472,ARCHIVED,
PHP,roots,sage,11454,2963,38,2963,630,11454,WordPress starter theme with a modern development workflow,"wordpress-starter-theme,wordpress,wordpress-theme,browsersync,webpack,blade,es6,sage,tailwindcss,laravel"
PHP,ramsey,uuid,11415,431,22,431,133,11415,A PHP library for generating universally unique identifiers (UUIDs).,"uuid,guid,identifiers,php,php7,php8,hacktoberfest"
PHP,slimphp,Slim,11134,1926,6,1926,532,11134,Slim is a PHP micro framework that helps you quickly write simple yet powerful web applications and APIs.,"slim,slim-framework,php,php-micro-framework,framework,micro-framework,psr-7,psr-15,psr-3"
PHP,the-control-group,voyager,10742,2551,276,2551,444,10742,Voyager - The Missing Laravel Admin,"laravel-admin,laravel,voyager"
PHP,octobercms,october,10724,2272,6,2272,443,10724,Self-hosted CMS platform based on the Laravel PHP Framework.,"cms,framework,cmf,laravel,php,platform,octobercms,backend,cms-platform"
PHP,FriendsOfPHP,PHP-CS-Fixer,10595,1334,399,1334,215,10595,A tool to automatically fix PHP Coding Standards issues,"php,static-analysis,code-style,code-standards"
PHP,doctrine,inflector,10590,109,9,109,24,10590,Doctrine Inflector is a small library that can perform string manipulations with regard to uppercase/lowercase and singular/plural forms of words.,
PHP,phalcon,cphalcon,10510,1912,54,1912,667,10510,"High performance, full-stack PHP framework delivered as a C extension.","phalcon,php,extension,php-extension,framework,phalcon-framework,ext-phalcon,phalcon-extension,psr-3,psr-4,psr-7,psr-13,psr-16,psr-17,hacktoberfest"
PHP,PHPOffice,PhpSpreadsheet,10487,2414,215,2414,330,10487,A pure PHP library for reading and writing spreadsheet files,"php,spreadsheet,excel,libreoffice,xlsx,ods,xls,phpexcel,sylk,office,msexcel,gnumeric,hacktoberfest"
PHP,doctrine,lexer,10434,44,3,44,24,10434,"Base library for a lexer that can be used in Top-Down, Recursive Descent Parsers.",
PHP,egulias,EmailValidator,10383,149,17,149,32,10383,PHP Email address validator,"emailvalidator,email,validator,php"
PHP,doctrine,instantiator,10376,55,5,55,25,10376,,
PHP,docker,labs,10355,5093,101,5093,567,10355,This is a collection of tutorials for learning how to use Docker with various tools. Contributions welcome.,"docker-tutorial,lab,swarm,docker,docker-compose,swarm-mode,orchestration,windows,dotnet,java,security,containers"
PHP,Maatwebsite,Laravel-Excel,10316,1632,8,1632,236,10316,🚀 Supercharged Excel exports and imports in Laravel,"laravel,phpexcel,php,phpoffice,csv,laravel-5-package,laravel-package"
PHP,tymondesigns,jwt-auth,10253,1389,551,1389,275,10253,🔐 JSON Web Token Authentication for Laravel & Lumen,"jwt,laravel,authentication,php"
PHP,z-song,laravel-admin,10198,2592,67,2592,372,10198,Build a full-featured administrative interface in ten minutes,"laravel-admin,model-grid,model-form,model-tree,model-show"
PHP,mockery,mockery,10005,435,88,435,79,10005,"Mockery is a simple yet flexible PHP mock object framework for use in unit testing with PHPUnit, PHPSpec or any other testing framework. Its core goal is to offer a test double framework with a succinct API capable of clearly defining all possible object operations and interactions using a human readable Domain Specific Language (DSL).","mockery,phpunit,php,stub,mock,mocking,test-doubles"
PHP,jupeter,clean-code-php,9963,2419,17,2419,447,9963,:bathtub: Clean Code concepts adapted for PHP,
PHP,spatie,laravel-permission,9923,1495,5,1495,220,9923,Associate users with roles and permissions,"laravel,php,permission,secure"
PHP,serbanghita,Mobile-Detect,9875,2632,151,2632,632,9875,Mobile_Detect is a lightweight PHP class for detecting mobile devices (including tablets). It uses the User-Agent string combined with specific HTTP headers to detect the mobile environment.,"mobile-detect,device-detection,user-agents,php,mobile-redirects"
PHP,magento,magento2,9741,8671,1896,8671,1353,9741,"All Submissions you make to Magento Inc. (""Magento"") through GitHub are subject to the following terms and conditions: (1) You grant Magento a perpetual, worldwide, non-exclusive, no charge, royalty free, irrevocable license under your applicable copyrights and patents to reproduce, prepare derivative works of, display, publically perform, sublicense and distribute any feedback, ideas, code, or other information (“Submission"") you submit through GitHub. (2) Your Submission is an original work of authorship and you are the owner or are legally entitled to grant the license stated above. (3) You agree to the Contributor License Agreement found here:  https://github.com/magento/magento2/blob/master/CONTRIBUTOR_LICENSE_AGREEMENT.html","magento,magento2,php,ecommerce-platform,ecommerce,hacktoberfest"
PHP,php-fig,log,9705,160,6,160,66,9705,,psr-3
PHP,w7corp,easywechat,9632,2303,91,2303,533,9632,:package: 一个 PHP 微信 SDK,"wechat,php,sdk,easywechat"
PHP,walkor,Workerman,9509,2172,4,2172,482,9509,"An asynchronous event driven PHP socket framework. Supports HTTP, Websocket, SSL and other custom protocols. PHP>=5.3.","websocket,timer,socket,event-driven,asynchronous,ws,wss,high-performance,socket-server,tcp"
PHP,swiftmailer,swiftmailer,9488,824,278,824,145,9488,Comprehensive mailing tools for PHP,"php,mailer,emails,email"
PHP,php-fig,container,9289,38,3,38,24,9289,,
PHP,dingo,api,9238,1273,191,1273,365,9238,A RESTful API package for the Laravel and Lumen frameworks.,
PHP,bobthecow,psysh,9121,276,48,276,104,9121,A REPL for PHP,"psysh,php,repl,cli,shell"
PHP,symfony,console,8932,223,0,223,43,8932,The Console component eases the creation of beautiful and testable command line interfaces.,"php,symfony,component,symfony-component,console,cli,cli-command"
PHP,squizlabs,PHP_CodeSniffer,8929,1396,285,1396,195,8929,PHP_CodeSniffer tokenizes PHP files and detects violations of a defined set of coding standards.,"php,coding-standards,automation,cli,qa,static-analysis"
PHP,doctrine,orm,8877,2346,1366,2346,281,8877,Doctrine Object Relational Mapper (ORM),hacktoberfest
PHP,phpDocumentor,ReflectionDocBlock,8855,91,18,91,22,8855,,"docblocks,hacktoberfest"
PHP,deployphp,deployer,8815,1291,16,1291,223,8815,A deployment tool written in PHP with support for popular frameworks out of the box,"php,deployment,tool,deploy,provision"
PHP,FriendsOfPHP,Goutte,8660,985,127,985,351,8660,"Goutte, a simple PHP Web Scraper",
PHP,phpDocumentor,TypeResolver,8656,40,3,40,13,8656,"A PSR-5 based resolver of Class names, Types and Structural Element Names","typeresolver,hacktoberfest"
PHP,phpDocumentor,ReflectionCommon,8572,19,3,19,6,8572,,hacktoberfest
PHP,cakephp,cakephp,8438,3471,35,3471,585,8438,CakePHP: The Rapid Development Framework for PHP - Official Repository,"cakephp,php,mvc-framework,psr-7,orm,mvc,validation,rest-api,web,web-framework,rapid-development,form-builder,hacktoberfest"
